Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,180,rep3
m2,MARK_PIX,66.8,24.7,T,180,rep1
C2,C0402,41.8,18.02,T,90,100n-16V-X7R
R32,R0402,30.2,21.95,T,270,10K-5%
C3,C0402,43.15,14.67,T,90,100n-16V-X7R
R33,R0402,55.27,23.35,T,180,10K-5%
C4,C0402,35.95,-0.18,T,180,100n-16V-X7R
R34,R0402,31.42,21.95,T,270,10K-5%
C5,C0402,28.22,14.97,T,90,100n-16V-X7R
R35,R0402,32.65,21.97,T,270,10K-5%
C6,C0402,51.12,18.48,T,0,100n-16V-X7R
R40,R0402,56.22,19.92,T,0,10K-5%
C7,C0402,31.75,15.12,T,90,100n-16V-X7R
R47,R0402,17.22,15.62,T,180,10K-5%
C8,C0402,51.15,21.15,T,90,100n-16V-X7R
R54,R0402,21.67,22.8,T,270,10K-5%
C10,C0402,25.32,20.55,T,270,100n-16V-X7R
R59,R0402,59.3,23.5,T,270,10K-5%
C11,C0402,34.3,2.6,T,0,100n-16V-X7R
R60,R0402,27.77,9.95,T,270,10K-5%
C12,C0402,32.45,4.37,T,90,100n-16V-X7R
R61,R0402,32.52,-0.18,T,180,10K-5%
C13,C0402,23.4,6.08,T,270,100n-16V-X7R
R66,R0402,54.07,18.88,T,90,10K-5%
C14,C0402,23.67,10.49,T,270,100n-16V-X7R
R84,R0402,2.3,19.5,T,270,10K-5%
C15,C0402,23.32,8.28,T,90,100n-16V-X7R
R85,R0402,56.0,18.43,T,180,10K-5%
C19,C0402,32.92,9.47,T,90,100n-16V-X7R
R21,R0402,3.32,6.75,T,90,4.7K-5%
C20,C0402,45.62,0.4,T,90,100n-16V-X7R
R30,R0402,20.17,10.33,T,180,4.7K-5%
C21,C0402,34.37,13.15,T,90,100n-16V-X7R
R38,R0402,20.35,8.68,T,90,4.7K-5%
C23,C0402,45.55,5.88,T,90,100n-16V-X7R
R43,R0402,12.35,17.15,T,270,4.7K-5%
C24,C0402,47.92,18.48,T,180,100n-16V-X7R
R45,R0402,13.65,14.0,T,270,4.7K-5%
C25,C0402,35.32,20.8,T,180,100n-16V-X7R
R53,R0402,18.9,14.35,T,270,4.7K-5%
C40,C0402,20.31,3.5,T,180,100n-16V-X7R
R55,R0402,62.01,20.63,T,270,4.7K-5%
C41,C0402,44.0,9.15,T,270,100n-16V-X7R
R56,R0402,60.02,20.62,T,180,4.7K-5%
C69,C0402,9.63,22.65,T,90,100n-16V-X7R
R57,R0402,63.22,20.65,T,270,4.7K-5%
C71,C0402,2.35,21.65,T,270,100n-16V-X7R
R58,R0402,62.95,18.43,T,0,4.7K-5%
R9,R0402,41.67,1.75,T,0,22-5%
R29,R0402,1.6,0.45,T,270,33-5%
R10,R0402,37.15,2.2,T,90,22-5%
R31,R0402,3.25,-0.25,T,0,33-5%
R11,R0402,39.07,2.65,T,0,22-5%
R37,R0402,3.35,4.63,T,270,33-5%
R12,R0402,39.1,1.44,T,0,22-5%
R49,R0402,12.17,18.8,T,180,33-5%
R13,R0402,43.9,6.62,T,90,22-5%
R50,R0402,20.15,14.37,T,270,33-5%
R14,R0402,43.9,4.52,T,90,22-5%
R52,R0402,12.17,20.0,T,180,33-5%
R15,R0402,43.9,2.27,T,270,22-5%
R79,R0402,5.75,15.9,T,90,33-5%
R16,R0402,39.12,0.24,T,0,22-5%
R80,R0402,4.52,16.37,T,90,33-5%
R17,R0402,28.52,22.02,T,0,1.2K-5%
R81,R0402,7.02,16.37,T,90,33-5%
R19,R0402,14.85,14.02,T,90,1.2K-5%
C73,C0402,2.72,16.77,T,180,470p-50V-X7R
R83,R0402,3.12,23.55,T,0,12.1K-1%
